unicode_greek,transliteration,lemma,part_of_speech,english_gloss,example_usage,notes,frequency,classical_sources
ἡμᾶς,hēmas,ἐγώ,pron 1st acc pl,us,ἡμᾶς ὁρᾷ,Accusative plural,980,Homer.Il Plato
ὑμεῖς,hymeis,σύ,pron 2nd nom pl,you (pl),ὑμεῖς σοφοί ἐστε,Second person plural,980,Homer.Il Plato
ὑμῶν,hymōn,σύ,pron 2nd gen pl,your/of you,ὑμῶν ἡ πόλις,Genitive plural,980,Homer.Il Plato
ὑμῖν,hymin,σύ,pron 2nd dat pl,to you (pl),ὑμῖν δίδωμι,Dative plural,980,Homer.Il Plato
ὑμᾶς,hymas,σύ,pron 2nd acc pl,you (pl),ὑμᾶς ὁρῶ,Accusative plural,980,Homer.Il Plato
αὐτοί,autoi,αὐτός,pron masc nom pl,they/same,αὐτοὶ ἔρχονται,Masculine plural,940,Homer.Il Plato
αὐταί,autai,αὐτός,pron fem nom pl,they/same,αὐταὶ ἔρχονται,Feminine plural,940,Homer.Il Plato
αὐτά,auta,αὐτός,pron neut nom pl,they/same,αὐτὰ ἔρχεται,Neuter plural,940,Homer.Il Plato
αὐτῶν,autōn,αὐτός,pron gen pl,their/of same,αὐτῶν ἡ οἰκία,Genitive plural,940,Homer.Il Plato
αὐτοῖς,autois,αὐτός,pron masc/neut dat pl,to them,αὐτοῖς δίδωμι,Dative plural,940,Homer.Il Plato
αὐταῖς,autais,αὐτός,pron fem dat pl,to them,αὐταῖς δίδωμι,Feminine dative plural,940,Homer.Il Plato
αὐτούς,autous,αὐτός,pron masc acc pl,them,αὐτοὺς ὁρῶ,Masculine accusative plural,940,Homer.Il Plato
αὐτάς,autas,αὐτός,pron fem acc pl,them,αὐτὰς ὁρῶ,Feminine accusative plural,940,Homer.Il Plato
πᾶς,pas,πᾶς,adj masc nom sg,all/every,πᾶς ἄνθρωπος,Universal adjective,900,Homer.Il Plato
πᾶσα,pasa,πᾶς,adj fem nom sg,all/every,πᾶσα γυνή,Feminine of πᾶς,900,Homer.Il Plato
πᾶν,pan,πᾶς,adj neut nom sg,all/every,πᾶν ἔργον,Neuter of πᾶς,900,Homer.Il Plato
παντός,pantos,πᾶς,adj masc/neut gen sg,of all,παντὸς ἀνθρώπου,Genitive of πᾶς,900,Homer.Il Plato
πάσης,pasēs,πᾶς,adj fem gen sg,of all,πάσης γυναικός,Feminine genitive,900,Homer.Il Plato
παντί,panti,πᾶς,adj masc/neut dat sg,to all,παντὶ ἀνθρώπῳ,Dative of πᾶς,900,Homer.Il Plato
πάσῃ,pasēi,πᾶς,adj fem dat sg,to all,πάσῃ γυναικί,Feminine dative,900,Homer.Il Plato
πάντα,panta,πᾶς,adj masc acc sg/neut nom pl,all,πάντα ἄνθρωπον,Accusative/neuter plural,900,Homer.Il Plato
πᾶσαν,pasan,πᾶς,adj fem acc sg,all,πᾶσαν γυναῖκα,Feminine accusative,900,Homer.Il Plato
πάντες,pantes,πᾶς,adj masc nom pl,all,πάντες ἄνθρωποι,Masculine plural,900,Homer.Il Plato
πᾶσαι,pasai,πᾶς,adj fem nom pl,all,πᾶσαι γυναῖκες,Feminine plural,900,Homer.Il Plato
πάντων,pantōn,πᾶς,adj gen pl,of all,πάντων ἀνθρώπων,Genitive plural,900,Homer.Il Plato
πᾶσι,pasi,πᾶς,adj masc/neut dat pl,to all,πᾶσιν ἀνθρώποις,Dative plural,900,Homer.Il Plato
πάσαις,pasais,πᾶς,adj fem dat pl,to all,πάσαις γυναιξί,Feminine dative plural,900,Homer.Il Plato
πάντας,pantas,πᾶς,adj masc acc pl,all,πάντας ἀνθρώπους,Masculine accusative plural,900,Homer.Il Plato
πάσας,pasas,πᾶς,adj fem acc pl,all,πάσας γυναῖκας,Feminine accusative plural,900,Homer.Il Plato
οὐδείς,oudeis,οὐδείς,pron masc nom sg,no one/nothing,οὐδεὶς ἄνθρωπος,Negative pronoun,820,Homer.Il Plato
οὐδεμία,oudemia,οὐδείς,pron fem nom sg,no one,οὐδεμία γυνή,Feminine of οὐδείς,820,Homer.Il Plato
οὐδέν,ouden,οὐδείς,pron neut nom sg,nothing,οὐδὲν ἔργον,Neuter of οὐδείς,820,Homer.Il Plato
οὐδενός,oudenos,οὐδείς,pron masc/neut gen sg,of no one,οὐδενὸς ἀνθρώπου,Genitive of οὐδείς,820,Homer.Il Plato
οὐδεμιᾶς,oudemias,οὐδείς,pron fem gen sg,of no one,οὐδεμιᾶς γυναικός,Feminine genitive,820,Homer.Il Plato
οὐδένα,oudena,οὐδείς,pron masc acc sg,no one,οὐδένα ἄνθρωπον,Accusative of οὐδείς,820,Homer.Il Plato
οὐδεμίαν,oudemian,οὐδείς,pron fem acc sg,no one,οὐδεμίαν γυναῖκα,Feminine accusative,820,Homer.Il Plato
οἶκος,oikos,οἶκος,noun masc nom sg,house/household,ὁ οἶκος μέγας,Domestic sphere,860,Homer.Il Xenophon
οἴκου,oikou,οἶκος,noun masc gen sg,of house,τοῦ οἴκου ὁ δεσπότης,Genitive of οἶκος,860,Homer.Il Xenophon
οἰκίᾳ,oikiai,οἰκία,noun fem dat sg,to/in house,ἐν τῇ οἰκίᾳ,Dative of οἰκία,840,Homer.Il Xenophon
οἰκία,oikia,οἰκία,noun fem nom sg,house/dwelling,ἡ οἰκία καλή,Building structure,840,Homer.Il Xenophon
γυνή,gynē,γυνή,noun fem nom sg,woman/wife,ἡ γυνὴ σώφρων,Adult female,880,Homer.Il Euripides
γυναικός,gynaikos,γυνή,noun fem gen sg,of woman,τῆς γυναικὸς ἡ ἀρετή,Genitive of γυνή,880,Homer.Il Euripides
γυναικί,gynaiki,γυνή,noun fem dat sg,to woman,τῇ γυναικὶ λέγω,Dative of γυνή,880,Homer.Il Euripides
γυναῖκα,gynaika,γυνή,noun fem acc sg,woman,γυναῖκα ὁρῶ,Accusative of γυνή,880,Homer.Il Euripides
γυναῖκες,gynaikes,γυνή,noun fem nom pl,women,αἱ γυναῖκες σώφρονες,Nominative plural,880,Homer.Il Euripides
παῖς,pais,παῖς,noun masc/fem nom sg,child,ὁ παῖς σοφός,Young person,890,Homer.Il Plato
παιδός,paidos,παῖς,noun masc/fem gen sg,of child,τοῦ παιδὸς ἡ μάθησις,Genitive of παῖς,890,Homer.Il Plato
παιδί,paidi,παῖς,noun masc/fem dat sg,to child,τῷ παιδὶ διδάσκω,Dative of παῖς,890,Homer.Il Plato
παῖδα,paida,παῖς,noun masc/fem acc sg,child,παῖδα παιδεύω,Accusative of παῖς,890,Homer.Il Plato
παῖδες,paides,παῖς,noun masc/fem nom pl,children,οἱ παῖδες μανθάνουσι,Nominative plural,890,Homer.Il Plato
πατήρ,patēr,πατήρ,noun masc nom sg,father,ὁ πατὴρ σοφός,Male parent,910,Homer.Il Sophocles
πατρός,patros,πατήρ,noun masc gen sg,of father,τοῦ πατρὸς ἡ οἰκία,Genitive of πατήρ,910,Homer.Il Sophocles
πατρί,patri,πατήρ,noun masc dat sg,to father,τῷ πατρὶ πείθομαι,Dative of πατήρ,910,Homer.Il Sophocles
πατέρα,patera,πατήρ,noun masc acc sg,father,πατέρα τιμῶ,Accusative of πατήρ,910,Homer.Il Sophocles
πατέρες,pateres,πατήρ,noun masc nom pl,fathers,οἱ πατέρες διδάσκουσι,Nominative plural,910,Homer.Il Sophocles
μήτηρ,mētēr,μήτηρ,noun fem nom sg,mother,ἡ μήτηρ φιλεῖ,Female parent,890,Homer.Il Euripides
μητρός,mētros,μήτηρ,noun fem gen sg,of mother,τῆς μητρὸς ἡ ἀγάπη,Genitive of μήτηρ,890,Homer.Il Euripides
μητρί,mētri,μήτηρ,noun fem dat sg,to mother,τῇ μητρὶ πείθομαι,Dative of μήτηρ,890,Homer.Il Euripides
μητέρα,metera,μήτηρ,noun fem acc sg,mother,μητέρα φιλῶ,Accusative of μήτηρ,890,Homer.Il Euripides
μητέρες,meteres,μήτηρ,noun fem nom pl,mothers,αἱ μητέρες φιλοῦσι,Nominative plural,890,Homer.Il Euripides
ἀδελφός,adelphos,ἀδελφός,noun masc nom sg,brother,ὁ ἀδελφὸς φίλος,Male sibling,780,Homer.Il Menander
ἀδελφοῦ,adelphou,ἀδελφός,noun masc gen sg,of brother,τοῦ ἀδελφοῦ τὰ βιβλία,Genitive of ἀδελφός,780,Homer.Il Menander
ἀδελφή,adelphē,ἀδελφή,noun fem nom sg,sister,ἡ ἀδελφὴ φίλη,Female sibling,720,Euripides Menander
ἀδελφῆς,adelphēs,ἀδελφή,noun fem gen sg,of sister,τῆς ἀδελφῆς τὰ βιβλία,Genitive of ἀδελφή,720,Euripides Menander
φίλος,philos,φίλος,noun/adj masc nom sg,friend/dear,ὁ φίλος ἀγαθός,Friendship term,920,Homer.Il Plato.Ly
φίλου,philou,φίλος,noun masc gen sg,of friend,τοῦ φίλου ἡ συμβουλή,Genitive of φίλος,920,Homer.Il Plato.Ly
φίλῳ,philōi,φίλος,noun masc dat sg,to friend,τῷ φίλῳ βοηθῶ,Dative of φίλος,920,Homer.Il Plato.Ly
φίλον,philon,φίλος,noun masc acc sg,friend,φίλον ποιοῦμαι,Accusative of φίλος,920,Homer.Il Plato.Ly
φίλοι,philoi,φίλος,noun masc nom pl,friends,οἱ φίλοι βοηθοῦσι,Nominative plural,920,Homer.Il Plato.Ly
ἐχθρός,echthros,ἐχθρός,noun/adj masc nom sg,enemy/hostile,ὁ ἐχθρὸς πολέμιος,Opposition term,750,Homer.Il Thucydides
ἐχθροῦ,echthrou,ἐχθρός,noun masc gen sg,of enemy,τοῦ ἐχθροῦ αἱ ἐπιβουλαί,Genitive of ἐχθρός,750,Homer.Il Thucydides
βίος,bios,βίος,noun masc nom sg,life/livelihood,ὁ βίος βραχύς,Way of living,820,Herodotus Aristotle.NE
βίου,biou,βίος,noun masc gen sg,of life,τοῦ βίου ἡ ἡδονή,Genitive of βίος,820,Herodotus Aristotle.NE
θάνατος,thanatos,θάνατος,noun masc nom sg,death,ὁ θάνατος φοβερός,End of life,790,Homer.Il Euripides
θανάτου,thanatou,θάνατος,noun masc gen sg,of death,τοῦ θανάτου ἡ φύσις,Genitive of θάνατος,790,Homer.Il Euripides
ἀρετή,aretē,ἀρετή,noun fem nom sg,virtue/excellence,ἡ ἀρετὴ καλή,Moral excellence,880,Homer.Il Plato.Men
ἀρετῆς,aretēs,ἀρετή,noun fem gen sg,of virtue,τῆς ἀρετῆς ἡ διδασκαλία,Genitive of ἀρετή,880,Homer.Il Plato.Men
κακία,kakia,κακία,noun fem nom sg,vice/evil,ἡ κακία αἰσχρά,Moral failing,650,Plato.Rep Aristotle.NE
κακίας,kakias,κακία,noun fem gen sg,of vice,τῆς κακίας ἡ φύσις,Genitive of κακία,650,Plato.Rep Aristotle.NE
δικαιοσύνη,dikaiosynē,δικαιοσύνη,noun fem nom sg,justice,ἡ δικαιοσύνη ἀρετή,Cardinal virtue,780,Plato.Rep Aristotle.NE
δικαιοσύνης,dikaiosynēs,δικαιοσύνη,noun fem gen sg,of justice,τῆς δικαιοσύνης ἡ φύσις,Genitive of δικαιοσύνη,780,Plato.Rep Aristotle.NE
ἀνδρεία,andreia,ἀνδρεία,noun fem nom sg,courage/bravery,ἡ ἀνδρεία ἀρετή,Courage virtue,750,Plato.Rep Aristotle.NE
ἀνδρείας,andreias,ἀνδρεία,noun fem gen sg,of courage,τῆς ἀνδρείας ἡ φύσις,Genitive of ἀνδρεία,750,Plato.Rep Aristotle.NE
σωφροσύνη,sōphrosynē,σωφροσύνη,noun fem nom sg,temperance/prudence,ἡ σωφροσύνη ἀρετή,Self-control virtue,720,Plato.Rep Aristotle.NE
σωφροσύνης,sōphrosynēs,σωφροσύνη,noun fem gen sg,of temperance,τῆς σωφροσύνης ἡ φύσις,Genitive of σωφροσύνη,720,Plato.Rep Aristotle.NE
εὐδαιμονία,eudaimonia,εὐδαιμονία,noun fem nom sg,happiness/flourishing,ἡ εὐδαιμονία τέλος,Human flourishing,760,Aristotle.NE Plato.Rep
εὐδαιμονίας,eudaimonias,εὐδαιμονία,noun fem gen sg,of happiness,τῆς εὐδαιμονίας ἡ φύσις,Genitive of εὐδαιμονία,760,Aristotle.NE Plato.Rep
ἡδονή,hēdonē,ἡδονή,noun fem nom sg,pleasure,ἡ ἡδονὴ ἀγαθόν,Physical/mental pleasure,730,Plato.Phd Aristotle.NE
ἡδονῆς,hēdonēs,ἡδονή,noun fem gen sg,of pleasure,τῆς ἡδονῆς ἡ φύσις,Genitive of ἡδονή,730,Plato.Phd Aristotle.NE
λύπη,lypē,λύπη,noun fem nom sg,pain/grief,ἡ λύπη κακόν,Physical/mental pain,680,Plato.Phd Aristotle.NE
λύπης,lypēs,λύπη,noun fem gen sg,of pain,τῆς λύπης ἡ φύσις,Genitive of λύπη,680,Plato.Phd Aristotle.NE
χρήματα,chrēmata,χρῆμα,noun neut nom pl,money/goods,τὰ χρήματα πολλά,Wealth/possessions,820,Thucydides Plato.Rep
χρημάτων,chrēmatōn,χρῆμα,noun neut gen pl,of money,τῶν χρημάτων ἡ κτῆσις,Genitive plural,820,Thucydides Plato.Rep
χρήμασι,chrēmasi,χρῆμα,noun neut dat pl,with money,τοῖς χρήμασι χρῶμαι,Dative plural,820,Thucydides Plato.Rep
νόμος,nomos,νόμος,noun masc nom sg,law/custom,ὁ νόμος δίκαιος,Legal/social rule,860,Thucydides Plato.Lg
νόμου,nomou,νόμος,noun masc gen sg,of law,τοῦ νόμου ἡ δύναμις,Genitive of νόμος,860,Thucydides Plato.Lg
νόμῳ,nomōi,νόμος,noun masc dat sg,by law,τῷ νόμῳ χρῶμαι,Dative of νόμος,860,Thucydides Plato.Lg
νόμον,nomon,νόμος,noun masc acc sg,law,νόμον τίθημι,Accusative of νόμος,860,Thucydides Plato.Lg
νόμοι,nomoi,νόμος,noun masc nom pl,laws,οἱ νόμοι δίκαιοι,Nominative plural,860,Thucydides Plato.Lg
θεός,theos,θεός,noun masc nom sg,god,ὁ θεὸς ἀθάνατος,Divine being,950,Homer.Il Hesiod.Th
ἱερός,hieros,ἱερός,adj masc nom sg,sacred/holy,ἱερὸς τόπος,Sacred or holy,720,Homer.Il Herodotus
ἱερόν,hieron,ἱερόν,noun neut nom sg,temple/sanctuary,τὸ ἱερὸν καλόν,Sacred place,720,Herodotus Thucydides
ἱερεύς,hiereus,ἱερεύς,noun masc nom sg,priest,ὁ ἱερεὺς θύει,Religious officiant,540,Herodotus Aristophanes
μάντις,mantis,μάντις,noun masc nom sg,prophet/seer,ὁ μάντις χρησμῳδεῖ,Divine interpreter,450,Aeschylus Herodotus
χρησμός,chrēsmos,χρησμός,noun masc nom sg,oracle/prophecy,ὁ χρησμὸς ἀληθής,Divine utterance,380,Herodotus Xenophon
τέρας,teras,τέρας,noun neut nom sg,portent/wonder,τὸ τέρας φοβερόν,Divine sign,290,Homer.Il Herodotus
σημεῖον,sēmeion,σημεῖον,noun neut nom sg,sign/token,τὸ σημεῖον δηλόν,Indicator or mark,620,Thucydides Plato
ἀγών,agōn,ἀγών,noun masc nom sg,contest/struggle,ὁ ἀγὼν καλός,Competition or conflict,680,Pindar Thucydides
ἆθλον,athlon,ἆθλον,noun neut nom sg,prize/reward,τὸ ἆθλον μέγα,Contest prize,340,Homer.Il Pindar
στέφανος,stephanos,στέφανος,noun masc nom sg,crown/wreath,ὁ στέφανος χρυσοῦς,Victory crown,380,Pindar Xenophon
νίκη,nikē,νίκη,noun fem nom sg,victory,ἡ νίκη καλή,Success in contest,720,Homer.Il Thucydides
ἧττα,hētta,ἧττα,noun fem nom sg,defeat,ἡ ἧττα αἰσχρά,Loss in contest,420,Thucydides Xenophon
μοῖρα,moira,μοῖρα,noun fem nom sg,fate/portion,ἡ μοῖρα κρατεῖ,Destiny or share,560,Homer.Il Aeschylus
τύχη,tychē,τύχη,noun fem nom sg,fortune/chance,ἡ τύχη ἀλλάσσει,Chance or luck,640,Herodotus Thucydides
ἀνάγκη,anankē,ἀνάγκη,noun fem nom sg,necessity/compulsion,ἡ ἀνάγκη βιάζει,Unavoidable force,580,Aeschylus Thucydides
εἱμαρμένη,heimarmenē,εἱμαρμένη,noun fem nom sg,destiny,ἡ εἱμαρμένη κρατεῖ,Predetermined fate,380,Stoic.texts
δαίμων,daimōn,δαίμων,noun masc nom sg,spirit/deity,ὁ δαίμων κακός,Divine being,520,Plato Herodotus
ἥρως,hērōs,ἥρως,noun masc nom sg,hero,ὁ ἥρως ἀνδρεῖος,Legendary figure,590,Homer.Il Herodotus
θυσία,thysia,θυσία,noun fem nom sg,sacrifice,ἡ θυσία καλή,Religious offering,460,Herodotus Aristophanes
σπονδή,spondē,σπονδή,noun fem nom sg,libation,ἡ σπονδὴ ἱερά,Ritual drink offering,380,Homer.Il Thucydides
πόλεμος,polemos,πόλεμος,noun masc nom sg,war,ὁ πόλεμος δεινός,Armed conflict,890,Homer.Il Thucydides
μάχη,machē,μάχη,noun fem nom sg,battle,ἡ μάχη χαλεπή,Combat engagement,750,Homer.Il Xenophon
στρατός,stratos,στρατός,noun masc nom sg,army,ὁ στρατὸς μέγας,Military force,680,Homer.Il Herodotus
στρατηγός,stratēgos,στρατηγός,noun masc nom sg,general,ὁ στρατηγὸς σοφός,Military commander,620,Thucydides Xenophon
ἱππεύς,hippeus,ἱππεύς,noun masc nom sg,horseman/cavalry,ὁ ἱππεὺς ταχύς,Mounted warrior,540,Homer.Il Xenophon
ὁπλίτης,hoplitēs,ὁπλίτης,noun masc nom sg,hoplite,ὁ ὁπλίτης ἀνδρεῖος,Heavy infantry,480,Thucydides Xenophon
ὅπλον,hoplon,ὅπλον,noun neut nom sg,weapon/tool,τὸ ὅπλον ὀξύ,Military equipment,620,Homer.Il Thucydides
ἀσπίς,aspis,ἀσπίς,noun fem nom sg,shield,ἡ ἀσπὶς χαλκῆ,Protective armor,490,Homer.Il Aristophanes
δόρυ,dory,δόρυ,noun neut nom sg,spear,τὸ δόρυ μακρόν,Thrusting weapon,560,Homer.Il Xenophon
ξίφος,xiphos,ξίφος,noun neut nom sg,sword,τὸ ξίφος ὀξύ,Cutting weapon,440,Homer.Il Xenophon
τόξον,toxon,τόξον,noun neut nom sg,bow,τὸ τόξον καμπύλον,Projectile weapon,380,Homer.Il Herodotus
ἰός,ios,ἰός,noun masc nom sg,arrow,ὁ ἰὸς ταχύς,Projectile missile,420,Homer.Il Xenophon
τεῖχος,teichos,τεῖχος,noun neut nom sg,wall/fortification,τὸ τεῖχος ὑψηλόν,Defensive structure,580,Homer.Il Thucydides
πύλη,pylē,πύλη,noun fem nom sg,gate,ἡ πύλη κλειστή,City entrance,460,Homer.Il Herodotus
φρουρά,phroura,φρουρά,noun fem nom sg,garrison/guard,ἡ φρουρὰ ἰσχυρά,Military guard,380,Thucydides Xenophon
κατάσκοπος,kataskopos,κατάσκοπος,noun masc nom sg,spy/scout,ὁ κατάσκοπος κρυπτός,Military intelligence,290,Herodotus Xenophon
αἰχμάλωτος,aichmalōtos,αἰχμάλωτος,noun masc nom sg,prisoner of war,ὁ αἰχμάλωτος δυστυχής,War captive,340,Herodotus Thucydides
λάφυρον,laphyron,λάφυρον,noun neut nom sg,spoils of war,τὸ λάφυρον πολύ,War booty,280,Herodotus Xenophon
τροπαῖον,tropaion,τροπαῖον,noun neut nom sg,trophy,τὸ τροπαῖον καλόν,Victory monument,260,Thucydides Xenophon
σύμμαχος,symmachos,σύμμαχος,noun masc nom sg,ally,ὁ σύμμαχος πιστός,Military ally,480,Herodotus Thucydides
πολέμιος,polemios,πολέμιος,adj masc nom sg,hostile/enemy,πολέμιος ἀνήρ,Enemy or hostile,590,Homer.Il Thucydides
εἰρήνη,eirēnē,εἰρήνη,noun fem nom sg,peace,ἡ εἰρήνη ἀγαθή,Absence of war,720,Aristophanes Thucydides
ὄρος,oros,ὄρος,noun neut nom sg,mountain,τὸ ὄρος ὑψηλόν,Elevated landform,680,Homer.Il Herodotus
κολώνη,kolōnē,κολώνη,noun fem nom sg,hill,ἡ κολώνη μικρά,Small elevation,340,Sophocles Thucydides
πεδίον,pedion,πεδίον,noun neut nom sg,plain,τὸ πεδίον εὐρύ,Flat land,420,Homer.Il Herodotus
ῥήνη,rhēnē,ῥήνη,noun fem nom sg,valley,ἡ ῥήνη βαθεῖα,Depression between hills,180,Homer.Il
δρυμός,drymos,δρυμός,noun masc nom sg,forest/thicket,ὁ δρυμὸς πυκνός,Dense woodland,280,Homer.Il Xenophon
ὕλη,hylē,ὕλη,noun fem nom sg,wood/forest,ἡ ὕλη δασεῖα,Wooded area,520,Herodotus Plato
δένδρον,dendron,δένδρον,noun neut nom sg,tree,τὸ δένδρον μέγα,Woody plant,480,Homer.Il Theophrastus
φυτόν,phyton,φυτόν,noun neut nom sg,plant,τὸ φυτὸν χλωρόν,Growing organism,340,Theophrastus Aristotle
καρπός,karpos,καρπός,noun masc nom sg,fruit,ὁ καρπὸς γλυκύς,Plant product,560,Homer.Od Theophrastus
σπέρμα,sperma,σπέρμα,noun neut nom sg,seed,τὸ σπέρμα μικρόν,Plant reproductive unit,420,Theophrastus Aristotle
ῥίζα,rhiza,ῥίζα,noun fem nom sg,root,ἡ ῥίζα βαθεῖα,Plant foundation,380,Theophrastus Aristotle
κλάδος,klados,κλάδος,noun masc nom sg,branch,ὁ κλάδος μακρός,Tree limb,320,Theophrastus
φύλλον,phyllon,φύλλον,noun neut nom sg,leaf,τὸ φύλλον χλωρόν,Plant appendage,340,Theophrastus Homer.Il
ἄνθος,anthos,ἄνθος,noun neut nom sg,flower,τὸ ἄνθος καλόν,Plant bloom,420,Homer.Il Theophrastus
πηγή,pēgē,πηγή,noun fem nom sg,spring/source,ἡ πηγὴ καθαρά,Water source,460,Homer.Il Herodotus
κρήνη,krēnē,κρήνη,noun fem nom sg,fountain,ἡ κρήνη ψυχρά,Artificial water source,380,Homer.Il Aristophanes
χείμαρρος,cheimarros,χείμαρρος,noun masc nom sg,torrent,ὁ χείμαρρος βίαιος,Seasonal stream,240,Homer.Il Aristotle
λίμνη,limnē,λίμνη,noun fem nom sg,lake,ἡ λίμνη μεγάλη,Inland water body,380,Herodotus Aristotle
βάλτος,baltos,βάλτος,noun masc nom sg,marsh/swamp,ὁ βάλτος ὑγρός,Wetland area,180,Herodotus
νῆσος,nēsos,νῆσος,noun fem nom sg,island,ἡ νῆσος μικρά,Land surrounded by water,520,Homer.Od Herodotus
ἀκτή,aktē,ἀκτή,noun fem nom sg,shore/coast,ἡ ἀκτὴ τραχεῖα,Seashore or lakeside,440,Homer.Il Herodotus
λιμήν,limēn,λιμήν,noun masc nom sg,harbor/port,ὁ λιμὴν ἀσφαλής,Ship refuge,480,Homer.Od Thucydides
κόλπος,kolpos,κόλπος,noun masc nom sg,gulf/bay,ὁ κόλπος μέγας,Coastal indentation,360,Herodotus Thucydides
ζῷον,zōion,ζῷον,noun neut nom sg,animal,τὸ ζῷον ζῇ,Living creature,640,Aristotle Plato
θηρίον,thērion,θηρίον,noun neut nom sg,wild animal,τὸ θηρίον ἄγριον,Untamed beast,480,Herodotus Aristotle
κτῆνος,ktēnos,κτῆνος,noun neut nom sg,domestic animal,τὸ κτῆνος ἥμερον,Tame livestock,420,Homer.Il Xenophon
βοῦς,bous,βοῦς,noun masc nom sg,ox/cow,ὁ βοῦς ἰσχυρός,Bovine animal,580,Homer.Il Herodotus
ταῦρος,tauros,ταῦρος,noun masc nom sg,bull,ὁ ταῦρος ἰσχυρός,Male bovine,440,Homer.Il Euripides
πρόβατον,probaton,πρόβατον,noun neut nom sg,sheep,τὸ πρόβατον λευκόν,Woolly livestock,420,Homer.Il Aristotle
αἴξ,aix,αἴξ,noun fem nom sg,goat,ἡ αἲξ ἀγρία,Caprine animal,360,Homer.Il Aristotle
χοῖρος,choiros,χοῖρος,noun masc nom sg,pig,ὁ χοῖρος παχύς,Porcine animal,340,Homer.Od Aristophanes
κύων,kyōn,κύων,noun masc nom sg,dog,ὁ κύων πιστός,Canine companion,520,Homer.Il Xenophon
λύκος,lykos,λύκος,noun masc nom sg,wolf,ὁ λύκος ἄγριος,Wild canine,380,Homer.Il Aesop
ἀλώπηξ,alōpēx,ἀλώπηξ,noun fem nom sg,fox,ἡ ἀλώπηξ πανοῦργος,Cunning canine,280,Aesop Aristophanes
ἄρκτος,arktos,ἄρκτος,noun fem nom sg,bear,ἡ ἄρκτος μεγάλη,Large carnivore,240,Herodotus Aristotle
λέων,leōn,λέων,noun masc nom sg,lion,ὁ λέων ἀνδρεῖος,Large feline,420,Homer.Il Herodotus
πάρδαλις,pardalis,πάρδαλις,noun fem nom sg,leopard,ἡ πάρδαλις ποικίλη,Spotted feline,180,Herodotus Aristotle
ἐλέφας,elephas,ἐλέφας,noun masc nom sg,elephant,ὁ ἐλέφας μέγας,Large mammal,220,Herodotus Aristotle
κάμηλος,kamēlos,κάμηλος,noun fem nom sg,camel,ἡ κάμηλος ὑψηλή,Desert animal,240,Herodotus Aristotle
ὄνος,onos,ὄνος,noun masc nom sg,donkey,ὁ ὄνος φέρει,Beast of burden,380,Homer.Il Aesop
μῦς,mys,μῦς,noun masc nom sg,mouse,ὁ μῦς μικρός,Small rodent,280,Aesop Aristotle
κάστωρ,kastōr,κάστωρ,noun masc nom sg,beaver,ὁ κάστωρ ἐργάτης,Aquatic rodent,120,Herodotus
ἀετός,aetos,ἀετός,noun masc nom sg,eagle,ὁ ἀετὸς ὑψηλός,Large raptor,420,Homer.Il Aristotle
ἱέραξ,hierax,ἱέραξ,noun masc nom sg,hawk,ὁ ἱέραξ ταχύς,Smaller raptor,280,Homer.Il Aristotle
κόραξ,korax,κόραξ,noun masc nom sg,raven,ὁ κόραξ μέλας,Black corvid,320,Aesop Aristotle
κορώνη,korōnē,κορώνη,noun fem nom sg,crow,ἡ κορώνη κακή,Dark corvid,280,Aesop Aristophanes
σῶμα,sōma,σῶμα,noun neut nom sg,body,τὸ σῶμα ὑγιές,Physical form,780,Homer.Il Plato
κεφαλή,kephalē,κεφαλή,noun fem nom sg,head,ἡ κεφαλὴ μεγάλη,Top of body,680,Homer.Il Hippocrates
πρόσωπον,prosōpon,πρόσωπον,noun neut nom sg,face,τὸ πρόσωπον καλόν,Front of head,520,Aristophanes Plato
ὀφθαλμός,ophthalmos,ὀφθαλμός,noun masc nom sg,eye,ὁ ὀφθαλμὸς βλέπει,Organ of sight,620,Homer.Il Hippocrates
οὖς,ous,οὖς,noun neut nom sg,ear,τὸ οὖς ἀκούει,Organ of hearing,480,Homer.Il Hippocrates
ῥίς,rhis,ῥίς,noun fem nom sg,nose,ἡ ῥὶς ὀσφραίνεται,Organ of smell,360,Aristophanes Hippocrates
στόμα,stoma,στόμα,noun neut nom sg,mouth,τὸ στόμα λέγει,Oral opening,580,Homer.Il Hippocrates
γλῶσσα,glōssa,γλῶσσα,noun fem nom sg,tongue,ἡ γλῶσσα γεύεται,Organ of taste/speech,520,Homer.Il Hippocrates
ὀδούς,odous,ὀδούς,noun masc nom sg,tooth,ὁ ὀδοὺς μασᾶται,Chewing organ,380,Homer.Il Hippocrates
τράχηλος,trachēlos,τράχηλος,noun masc nom sg,neck,ὁ τράχηλος στρέφεται,Head connector,340,Homer.Il Hippocrates
βραχίων,brachiōn,βραχίων,noun masc nom sg,arm,ὁ βραχίων ἰσχυρός,Upper limb,420,Homer.Il Hippocrates
χείρ,cheir,χείρ,noun fem nom sg,hand,ἡ χεὶρ λαμβάνει,Manual extremity,840,Homer.Il Hippocrates
δάκτυλος,daktylos,δάκτυλος,noun masc nom sg,finger,ὁ δάκτυλος μικρός,Hand digit,380,Homer.Il Hippocrates
στῆθος,stēthos,στῆθος,noun neut nom sg,chest/breast,τὸ στῆθος εὐρύ,Thoracic region,480,Homer.Il Hippocrates
